,epoch,compute_time,loss
0,0.0,12.598641777038575,0.3446025848388672
1,1.0,11.710330430666605,0.31144688129425047
2,2.0,11.599959770838419,0.28815815448760984
3,3.0,11.400559687614441,0.29235036969184874
4,4.0,11.41163103580475,0.2842745006084442
5,5.0,11.178681747118633,0.29579119086265565
6,6.0,11.384792788823445,0.27772198915481566
7,7.0,11.833785486221313,0.25705028176307676
8,8.0,12.454638044039408,0.2588643550872803
9,9.0,13.104230324427286,0.25088201761245726
10,10.0,14.265865004062652,0.23504106402397157
11,11.0,15.527982823053996,0.2290182590484619
12,12.0,14.79782449801763,0.2273787260055542
13,13.0,17.59087156057358,0.22204816341400146
14,14.0,18.575534296035766,0.21912052631378173
15,15.0,18.716533406575522,0.22080427408218384
16,16.0,19.844522738456725,0.1788173258304596
17,17.0,19.766363581021626,0.15704532861709594
18,18.0,19.815680825710295,0.15047922730445862
19,19.0,21.95300531387329,0.15143387913703918
20,20.0,22.30240225791931,0.12467527985572815
21,21.0,22.47371967633565,0.12364386916160583
22,22.0,21.218117372194925,0.11640551686286926
23,23.0,21.712938956419627,0.1163946270942688
24,24.0,21.77313803434372,0.12148545980453491
25,25.0,21.938536433378854,0.1071715772151947
26,26.0,21.874561750888823,0.11456428170204162
27,27.0,21.83516125281652,0.11566229462623596
28,28.0,21.600168176492055,0.10563715696334838
29,29.0,21.301171692212424,0.09989553093910217
30,30.0,21.430187133948007,0.09722665548324586
31,31.0,21.95957719484965,0.11183618307113648
32,32.0,21.471988956133526,0.093919438123703
33,33.0,21.045403667291005,0.10472419857978821
34,34.0,20.49980461994807,0.0921532928943634
35,35.0,19.53405665953954,0.09810811281204224
36,36.0,19.235363602638245,0.09089002013206482
37,37.0,19.1638441880544,0.08629529476165772
38,38.0,18.44016631444295,0.08826552629470825
39,39.0,17.251047670841217,0.084063059091568
40,40.0,17.991968476772307,0.08622543811798096
41,41.0,17.708036677042642,0.08334808349609375
42,42.0,17.359311095873515,0.08668984770774842
43,43.0,16.915840395291646,0.09023234248161316
44,44.0,16.535131438573202,0.08396977186203003
45,45.0,16.21249221165975,0.07848750352859497
46,46.0,15.996456762154898,0.07877105474472046
47,47.0,15.758889083067576,0.08080925941467285
48,48.0,16.356420453389486,0.07835119962692261
49,49.0,15.868113831679027,0.07706462740898132
