,epoch,compute_time,brand,hz_advertised,hz_actual,cpu_arch,cpu_count,python_version,gpu_device,model,input_size,init_features,n_channels,FLOPs,n_parameters
0,0.0,0.08852692047754923,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,2.2000 GHz,2.5438 GHz,X86_64,24,3.7.4.final.0 (64 bit),Tesla P100-PCIE-12GB,unet,512,64,1,192.81 GMac,31.04 M
1,1.0,0.0005315264066060384,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,2.2000 GHz,2.5438 GHz,X86_64,24,3.7.4.final.0 (64 bit),Tesla P100-PCIE-12GB,unet,512,64,1,192.81 GMac,31.04 M
2,2.0,0.0007715622584025065,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,2.2000 GHz,2.5438 GHz,X86_64,24,3.7.4.final.0 (64 bit),Tesla P100-PCIE-12GB,unet,512,64,1,192.81 GMac,31.04 M
3,3.0,0.0007702589035034179,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,2.2000 GHz,2.5438 GHz,X86_64,24,3.7.4.final.0 (64 bit),Tesla P100-PCIE-12GB,unet,512,64,1,192.81 GMac,31.04 M
4,4.0,0.0007834951082865397,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,2.2000 GHz,2.5438 GHz,X86_64,24,3.7.4.final.0 (64 bit),Tesla P100-PCIE-12GB,unet,512,64,1,192.81 GMac,31.04 M
5,5.0,0.0007750789324442545,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,2.2000 GHz,2.5438 GHz,X86_64,24,3.7.4.final.0 (64 bit),Tesla P100-PCIE-12GB,unet,512,64,1,192.81 GMac,31.04 M
6,6.0,0.0007753928502400716,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,2.2000 GHz,2.5438 GHz,X86_64,24,3.7.4.final.0 (64 bit),Tesla P100-PCIE-12GB,unet,512,64,1,192.81 GMac,31.04 M
7,7.0,0.0007731000582377116,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,2.2000 GHz,2.5438 GHz,X86_64,24,3.7.4.final.0 (64 bit),Tesla P100-PCIE-12GB,unet,512,64,1,192.81 GMac,31.04 M
8,8.0,0.0007780114809672038,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,2.2000 GHz,2.5438 GHz,X86_64,24,3.7.4.final.0 (64 bit),Tesla P100-PCIE-12GB,unet,512,64,1,192.81 GMac,31.04 M
9,9.0,0.0007688522338867188,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,2.2000 GHz,2.5438 GHz,X86_64,24,3.7.4.final.0 (64 bit),Tesla P100-PCIE-12GB,unet,512,64,1,192.81 GMac,31.04 M
