,model,input_size,init_features,n_channels,epoch,compute_time
0,unet,256,64,1,0,0.04448606570561727
1,unet,256,64,1,1,0.004905962944030761
2,unet,256,64,1,2,0.004770894845326741
3,unet,256,64,1,3,0.004663304487864176
4,unet,256,64,1,4,0.004981776078542073
5,unet,256,64,1,5,0.004653771718343099
6,unet,256,64,1,6,0.004570305347442627
7,unet,256,64,1,7,0.004651021957397461
8,unet,256,64,1,8,0.004590741793314616
9,unet,256,64,1,9,0.00458525816599528
10,unet,256,64,1,10,0.004584058125813802
11,unet,256,64,1,11,0.004652635256449381
12,unet,256,64,1,12,0.004602054754892985
13,unet,256,64,1,13,0.0047064979871114096
14,unet,256,64,1,14,0.004661142826080322
15,unet,256,64,1,15,0.004754014809926351
16,unet,256,64,1,16,0.0047508438428243
17,unet,256,64,1,17,0.00466839869817098
18,unet,256,64,1,18,0.004709374904632568
19,unet,256,64,1,19,0.00461881160736084
20,unet,256,64,1,20,0.0045994917551676435
21,unet,256,64,1,21,0.004681630929311117
22,unet,256,64,1,22,0.004575332005818685
23,unet,256,64,1,23,0.004601927598317465
24,unet,256,64,1,24,0.004575971762339274
25,unet,256,64,1,25,0.004604474703470866
26,unet,256,64,1,26,0.004585691293080648
27,unet,256,64,1,27,0.004557458559672037
28,unet,256,64,1,28,0.004561022917429606
29,unet,256,64,1,29,0.004559485117594401
30,unet,256,64,1,30,0.004552670319875081
31,unet,256,64,1,31,0.004636991024017334
32,unet,256,64,1,32,0.004584666093190511
33,unet,256,64,1,33,0.004729227224985758
34,unet,256,64,1,34,0.004828306039174398
35,unet,256,64,1,35,0.0046915372212727865
36,unet,256,64,1,36,0.004651832580566406
37,unet,256,64,1,37,0.004680474599202474
38,unet,256,64,1,38,0.004691525300343832
39,unet,256,64,1,39,0.004663650194803874
40,unet,256,64,1,40,0.004686474800109863
41,unet,256,64,1,41,0.00465773344039917
42,unet,256,64,1,42,0.004654526710510254
43,unet,256,64,1,43,0.004691096146901449
44,unet,256,64,1,44,0.004797510306040446
45,unet,256,64,1,45,0.004775675137837728
46,unet,256,64,1,46,0.00472570260365804
47,unet,256,64,1,47,0.004649452368418376
48,unet,256,64,1,48,0.004645323753356934
49,unet,256,64,1,49,0.004594079653422038
50,unet,256,64,1,50,0.0046255191167195635
51,unet,256,64,1,51,0.004577330748240153
52,unet,256,64,1,52,0.004581451416015625
53,unet,256,64,1,53,0.0046397050221761065
54,unet,256,64,1,54,0.004566554228464762
55,unet,256,64,1,55,0.004595355192820231
56,unet,256,64,1,56,0.0045759359995524084
57,unet,256,64,1,57,0.004619924227396647
58,unet,256,64,1,58,0.004544520378112793
59,unet,256,64,1,59,0.004690627257029216
60,unet,256,64,1,60,0.004709390799204508
61,unet,256,64,1,61,0.0046778480211893715
62,unet,256,64,1,62,0.004776124159495036
63,unet,256,64,1,63,0.0046667893727620445
64,unet,256,64,1,64,0.004682016372680664
65,unet,256,64,1,65,0.004669006665547689
66,unet,256,64,1,66,0.004655206203460693
67,unet,256,64,1,67,0.00463407834370931
68,unet,256,64,1,68,0.004670162995656331
69,unet,256,64,1,69,0.004657316207885742
70,unet,256,64,1,70,0.0046827356020609535
71,unet,256,64,1,71,0.0046582818031311035
72,unet,256,64,1,72,0.004660789171854655
73,unet,256,64,1,73,0.004655174414316813
74,unet,256,64,1,74,0.004571958382924398
75,unet,256,64,1,75,0.00465767780939738
76,unet,256,64,1,76,0.004684213797251383
77,unet,256,64,1,77,0.004596408208211263
78,unet,256,64,1,78,0.0046541690826416016
79,unet,256,64,1,79,0.0045849363009134924
80,unet,256,64,1,80,0.004598939418792724
81,unet,256,64,1,81,0.004705933729807535
82,unet,256,64,1,82,0.004663185278574625
83,unet,256,64,1,83,0.004660892486572266
84,unet,256,64,1,84,0.0046676238377889
85,unet,256,64,1,85,0.0047038634618123375
86,unet,256,64,1,86,0.004707757631937663
87,unet,256,64,1,87,0.004741565386454264
88,unet,256,64,1,88,0.004870895544687907
89,unet,256,64,1,89,0.004777288436889649
90,unet,256,64,1,90,0.004787659645080567
91,unet,256,64,1,91,0.004790377616882324
92,unet,256,64,1,92,0.0047789772351582846
93,unet,256,64,1,93,0.004729175567626953
94,unet,256,64,1,94,0.004746834437052409
95,unet,256,64,1,95,0.004697779814402263
96,unet,256,64,1,96,0.004778734842936198
97,unet,256,64,1,97,0.004710785547892253
98,unet,256,64,1,98,0.004868113994598388
99,unet,256,64,1,99,0.004783165454864502
